Nome;Partido;UF;Tipo_de_Despesa;Valor
HAROLDO CATHEDRAL;PSD;RR;EMISSÃO BILHETE AÉREO;R$  83588,14
HAROLDO CATHEDRAL;PSD;RR;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  30000
HAROLDO CATHEDRAL;PSD;RR;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  24926,9
HAROLDO CATHEDRAL;PSD;RR;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  12000
HAROLDO CATHEDRAL;PSD;RR;PASSAGENS AÉREAS;R$  7534,28
HAROLDO CATHEDRAL;PSD;RR;COMBUSTÍVEIS E LUBRIFICANTES.;R$  5851,87
HAROLDO CATHEDRAL;PSD;RR;TELEFONIA;R$  721,56
HAROLDO CATHEDRAL;PSD;RR;SERVIÇOS POSTAIS;R$  275,43
HAROLDO CATHEDRAL;PSD;RR;Total;R$  253358,18
JUNINHO DO PNEU;DEM;RJ;EMISSÃO BILHETE AÉREO;R$  84945,44
JUNINHO DO PNEU;DEM;RJ;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  68880
JUNINHO DO PNEU;DEM;RJ;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  34326,48
JUNINHO DO PNEU;DEM;RJ;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  25701
JUNINHO DO PNEU;DEM;RJ;COMBUSTÍVEIS E LUBRIFICANTES.;R$  23554,02
JUNINHO DO PNEU;DEM;RJ;PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR;R$  7000
JUNINHO DO PNEU;DEM;RJ;ASSINATURA DE PUBLICAÇÕES;R$  4317,78
JUNINHO DO PNEU;DEM;RJ;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  1849,32
JUNINHO DO PNEU;DEM;RJ;TELEFONIA;R$  1312,96
JUNINHO DO PNEU;DEM;RJ;SERVIÇOS POSTAIS;R$  1128,7
JUNINHO DO PNEU;DEM;RJ;Total;R$  253015,7
TALÍRIA PETRONE;PSOL;RJ;EMISSÃO BILHETE AÉREO;R$  98350,03
TALÍRIA PETRONE;PSOL;RJ;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  65949,56
TALÍRIA PETRONE;PSOL;RJ;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  64375
TALÍRIA PETRONE;PSOL;RJ;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  10850,3
TALÍRIA PETRONE;PSOL;RJ;COMBUSTÍVEIS E LUBRIFICANTES.;R$  5277,95
TALÍRIA PETRONE;PSOL;RJ;PASSAGENS AÉREAS;R$  4080,02
TALÍRIA PETRONE;PSOL;RJ;SERVIÇOS POSTAIS;R$  1511,58
TALÍRIA PETRONE;PSOL;RJ;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  933,72
TALÍRIA PETRONE;PSOL;RJ;ASSINATURA DE PUBLICAÇÕES;R$  689,4
TALÍRIA PETRONE;PSOL;RJ;TELEFONIA;R$  583,31
TALÍRIA PETRONE;PSOL;RJ;PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;R$  209,99
TALÍRIA PETRONE;PSOL;RJ;Total;R$  252810,86
ROBERTO PESSOA;PSDB;CE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  90915,28
ROBERTO PESSOA;PSDB;CE;EMISSÃO BILHETE AÉREO;R$  36587,18
ROBERTO PESSOA;PSDB;CE;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  35000
ROBERTO PESSOA;PSDB;CE;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  31200
ROBERTO PESSOA;PSDB;CE;COMBUSTÍVEIS E LUBRIFICANTES.;R$  29536,28
ROBERTO PESSOA;PSDB;CE;LOCAÇÃO OU FRETAMENTO DE AERONAVES;R$  10400
ROBERTO PESSOA;PSDB;CE;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  7065,32
ROBERTO PESSOA;PSDB;CE;PASSAGENS AÉREAS;R$  4365,05
ROBERTO PESSOA;PSDB;CE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  3836,5
ROBERTO PESSOA;PSDB;CE;TELEFONIA;R$  1498,2
ROBERTO PESSOA;PSDB;CE;ASSINATURA DE PUBLICAÇÕES;R$  1174,8
ROBERTO PESSOA;PSDB;CE;SERVIÇOS POSTAIS;R$  783,48
ROBERTO PESSOA;PSDB;CE;Total;R$  252362,09
CHARLES FERNANDES;PSD;BA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  126544
CHARLES FERNANDES;PSD;BA;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  34979,3
CHARLES FERNANDES;PSD;BA;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  32350
CHARLES FERNANDES;PSD;BA;COMBUSTÍVEIS E LUBRIFICANTES.;R$  31077,82
CHARLES FERNANDES;PSD;BA;EMISSÃO BILHETE AÉREO;R$  17891,42
CHARLES FERNANDES;PSD;BA;TELEFONIA;R$  6253,26
CHARLES FERNANDES;PSD;BA;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  1354,07
CHARLES FERNANDES;PSD;BA;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  955,9
CHARLES FERNANDES;PSD;BA;PASSAGENS AÉREAS;R$  615
CHARLES FERNANDES;PSD;BA;SERVIÇOS POSTAIS;R$  173,82
CHARLES FERNANDES;PSD;BA;Total;R$  252194,59
TITO;AVANTE;BA;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  80000
TITO;AVANTE;BA;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  66000
TITO;AVANTE;BA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  58358
TITO;AVANTE;BA;COMBUSTÍVEIS E LUBRIFICANTES.;R$  31962,16
TITO;AVANTE;BA;EMISSÃO BILHETE AÉREO;R$  7656,06
TITO;AVANTE;BA;PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;R$  2915,94
TITO;AVANTE;BA;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  2578,78
TITO;AVANTE;BA;TELEFONIA;R$  1024,67
TITO;AVANTE;BA;PASSAGENS AÉREAS;R$  696,3
TITO;AVANTE;BA;SERVIÇOS POSTAIS;R$  545,8
TITO;AVANTE;BA;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  410,55
TITO;AVANTE;BA;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  34
TITO;AVANTE;BA;Total;R$  252182,26
RODRIGO DE CASTRO;PSDB;MG;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  74577
RODRIGO DE CASTRO;PSDB;MG;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  62857,11
RODRIGO DE CASTRO;PSDB;MG;EMISSÃO BILHETE AÉREO;R$  57921,86
RODRIGO DE CASTRO;PSDB;MG;COMBUSTÍVEIS E LUBRIFICANTES.;R$  39242,04
RODRIGO DE CASTRO;PSDB;MG;TELEFONIA;R$  7869,66
RODRIGO DE CASTRO;PSDB;MG;SERVIÇOS POSTAIS;R$  2342,06
RODRIGO DE CASTRO;PSDB;MG;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  1960
RODRIGO DE CASTRO;PSDB;MG;PASSAGENS AÉREAS;R$  1386,79
RODRIGO DE CASTRO;PSDB;MG;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;R$  1323
RODRIGO DE CASTRO;PSDB;MG;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  1200,8
RODRIGO DE CASTRO;PSDB;MG;ASSINATURA DE PUBLICAÇÕES;R$  774,32
RODRIGO DE CASTRO;PSDB;MG;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  709
RODRIGO DE CASTRO;PSDB;MG;Total;R$  252163,64
PAULO ABI-ACKEL;PSDB;MG;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  97342,44
PAULO ABI-ACKEL;PSDB;MG;EMISSÃO BILHETE AÉREO;R$  52285,07
PAULO ABI-ACKEL;PSDB;MG;COMBUSTÍVEIS E LUBRIFICANTES.;R$  36883,77
PAULO ABI-ACKEL;PSDB;MG;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  20300
PAULO ABI-ACKEL;PSDB;MG;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  16510,52
PAULO ABI-ACKEL;PSDB;MG;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  9451,4
PAULO ABI-ACKEL;PSDB;MG;TELEFONIA;R$  9098,75
PAULO ABI-ACKEL;PSDB;MG;SERVIÇOS POSTAIS;R$  5068,21
PAULO ABI-ACKEL;PSDB;MG;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  4956,78
PAULO ABI-ACKEL;PSDB;MG;Total;R$  251896,94
AFONSO FLORENCE;PT;BA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  102200
AFONSO FLORENCE;PT;BA;EMISSÃO BILHETE AÉREO;R$  65516,97
AFONSO FLORENCE;PT;BA;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  20753,4
AFONSO FLORENCE;PT;BA;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  17338,88
AFONSO FLORENCE;PT;BA;COMBUSTÍVEIS E LUBRIFICANTES.;R$  11690,71
AFONSO FLORENCE;PT;BA;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  11000
AFONSO FLORENCE;PT;BA;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  9803,67
AFONSO FLORENCE;PT;BA;TELEFONIA;R$  7491,3
AFONSO FLORENCE;PT;BA;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  2420,09
AFONSO FLORENCE;PT;BA;SERVIÇOS POSTAIS;R$  1547,55
AFONSO FLORENCE;PT;BA;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  1343
AFONSO FLORENCE;PT;BA;PASSAGENS AÉREAS;R$  410,57
AFONSO FLORENCE;PT;BA;PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;R$  306,51
AFONSO FLORENCE;PT;BA;Total;R$  251822,65
BENEDITA DA SILVA;PT;RJ;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  94070
BENEDITA DA SILVA;PT;RJ;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  68149,87
BENEDITA DA SILVA;PT;RJ;EMISSÃO BILHETE AÉREO;R$  52633,42
BENEDITA DA SILVA;PT;RJ;COMBUSTÍVEIS E LUBRIFICANTES.;R$  19427,68
BENEDITA DA SILVA;PT;RJ;TELEFONIA;R$  6048,05
BENEDITA DA SILVA;PT;RJ;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  3075,79
BENEDITA DA SILVA;PT;RJ;SERVIÇOS POSTAIS;R$  3004,23
BENEDITA DA SILVA;PT;RJ;PASSAGENS AÉREAS;R$  2009,38
BENEDITA DA SILVA;PT;RJ;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  1673,4
BENEDITA DA SILVA;PT;RJ;ASSINATURA DE PUBLICAÇÕES;R$  958,8
BENEDITA DA SILVA;PT;RJ;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  567,5
BENEDITA DA SILVA;PT;RJ;Total;R$  251618,12
MARIA ROSAS;REPUBLICANOS;SP;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  78668
MARIA ROSAS;REPUBLICANOS;SP;EMISSÃO BILHETE AÉREO;R$  66121,23
MARIA ROSAS;REPUBLICANOS;SP;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  47648
MARIA ROSAS;REPUBLICANOS;SP;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  28092,64
MARIA ROSAS;REPUBLICANOS;SP;COMBUSTÍVEIS E LUBRIFICANTES.;R$  22476,97
MARIA ROSAS;REPUBLICANOS;SP;SERVIÇOS POSTAIS;R$  4020,46
MARIA ROSAS;REPUBLICANOS;SP;TELEFONIA;R$  3336,96
MARIA ROSAS;REPUBLICANOS;SP;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  350,7
MARIA ROSAS;REPUBLICANOS;SP;Total;R$  250714,96
ISNALDO BULHÕES JR.;MDB;AL;EMISSÃO BILHETE AÉREO;R$  91022,04
ISNALDO BULHÕES JR.;MDB;AL;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  71110
ISNALDO BULHÕES JR.;MDB;AL;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  36700
ISNALDO BULHÕES JR.;MDB;AL;COMBUSTÍVEIS E LUBRIFICANTES.;R$  27480,36
ISNALDO BULHÕES JR.;MDB;AL;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  17960
ISNALDO BULHÕES JR.;MDB;AL;PASSAGENS AÉREAS;R$  2006,95
ISNALDO BULHÕES JR.;MDB;AL;TELEFONIA;R$  1762,01
ISNALDO BULHÕES JR.;MDB;AL;SERVIÇOS POSTAIS;R$  1597,41
ISNALDO BULHÕES JR.;MDB;AL;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  465,64
ISNALDO BULHÕES JR.;MDB;AL;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  397,95
ISNALDO BULHÕES JR.;MDB;AL;Total;R$  250502,36
GUTEMBERG REIS;MDB;RJ;EMISSÃO BILHETE AÉREO;R$  71841,99
GUTEMBERG REIS;MDB;RJ;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  65350
GUTEMBERG REIS;MDB;RJ;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  52335,44
GUTEMBERG REIS;MDB;RJ;COMBUSTÍVEIS E LUBRIFICANTES.;R$  32487,88
GUTEMBERG REIS;MDB;RJ;TELEFONIA;R$  12680,43
GUTEMBERG REIS;MDB;RJ;PASSAGENS AÉREAS;R$  7839,85
GUTEMBERG REIS;MDB;RJ;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  6000
GUTEMBERG REIS;MDB;RJ;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  930,38
GUTEMBERG REIS;MDB;RJ;SERVIÇOS POSTAIS;R$  547,47
GUTEMBERG REIS;MDB;RJ;Total;R$  250013,44
MARCELO BRUM;PSL;RS;EMISSÃO BILHETE AÉREO;R$  74628,43
MARCELO BRUM;PSL;RS;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  73696,93
MARCELO BRUM;PSL;RS;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  39238,72
MARCELO BRUM;PSL;RS;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  25172,46
MARCELO BRUM;PSL;RS;COMBUSTÍVEIS E LUBRIFICANTES.;R$  24577,7
MARCELO BRUM;PSL;RS;PASSAGENS AÉREAS;R$  3964,7
MARCELO BRUM;PSL;RS;TELEFONIA;R$  2747,46
MARCELO BRUM;PSL;RS;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;R$  1843
MARCELO BRUM;PSL;RS;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  1374,94
MARCELO BRUM;PSL;RS;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  1110,8
MARCELO BRUM;PSL;RS;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  383,05
MARCELO BRUM;PSL;RS;SERVIÇOS POSTAIS;R$  367,76
MARCELO BRUM;PSL;RS;ASSINATURA DE PUBLICAÇÕES;R$  300
MARCELO BRUM;PSL;RS;PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;R$  164,05
MARCELO BRUM;PSL;RS;Total;R$  249570
CHRISTINO AUREO;PP;RJ;EMISSÃO BILHETE AÉREO;R$  126538,14
CHRISTINO AUREO;PP;RJ;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  55436,2
CHRISTINO AUREO;PP;RJ;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  21831
CHRISTINO AUREO;PP;RJ;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  12089,48
CHRISTINO AUREO;PP;RJ;COMBUSTÍVEIS E LUBRIFICANTES.;R$  11756,37
CHRISTINO AUREO;PP;RJ;TELEFONIA;R$  5207,6
CHRISTINO AUREO;PP;RJ;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  5108,89
CHRISTINO AUREO;PP;RJ;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  5023,26
CHRISTINO AUREO;PP;RJ;PASSAGENS AÉREAS;R$  3219,92
CHRISTINO AUREO;PP;RJ;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  1611,6
CHRISTINO AUREO;PP;RJ;ASSINATURA DE PUBLICAÇÕES;R$  1243,5
CHRISTINO AUREO;PP;RJ;SERVIÇOS POSTAIS;R$  440,93
CHRISTINO AUREO;PP;RJ;Total;R$  249506,89
CAPITÃO WAGNER;PROS;CE;EMISSÃO BILHETE AÉREO;R$  88552,59
CAPITÃO WAGNER;PROS;CE;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  40800
CAPITÃO WAGNER;PROS;CE;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  38770
CAPITÃO WAGNER;PROS;CE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  25900
CAPITÃO WAGNER;PROS;CE;COMBUSTÍVEIS E LUBRIFICANTES.;R$  21351,02
CAPITÃO WAGNER;PROS;CE;TELEFONIA;R$  12369,42
CAPITÃO WAGNER;PROS;CE;LOCAÇÃO OU FRETAMENTO DE AERONAVES;R$  6700
CAPITÃO WAGNER;PROS;CE;SERVIÇOS POSTAIS;R$  6263,75
CAPITÃO WAGNER;PROS;CE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  3888,7
CAPITÃO WAGNER;PROS;CE;PASSAGENS AÉREAS;R$  3209,23
CAPITÃO WAGNER;PROS;CE;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  1660,92
CAPITÃO WAGNER;PROS;CE;Total;R$  249465,63
PROFESSORA MARCIVANIA;PCdoB;AP;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  72000
PROFESSORA MARCIVANIA;PCdoB;AP;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  68040
PROFESSORA MARCIVANIA;PCdoB;AP;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  57814,7
PROFESSORA MARCIVANIA;PCdoB;AP;EMISSÃO BILHETE AÉREO;R$  37873,55
PROFESSORA MARCIVANIA;PCdoB;AP;COMBUSTÍVEIS E LUBRIFICANTES.;R$  7835,05
PROFESSORA MARCIVANIA;PCdoB;AP;PASSAGENS AÉREAS;R$  1939,39
PROFESSORA MARCIVANIA;PCdoB;AP;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  1769,9
PROFESSORA MARCIVANIA;PCdoB;AP;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  1431,12
PROFESSORA MARCIVANIA;PCdoB;AP;TELEFONIA;R$  283,63
PROFESSORA MARCIVANIA;PCdoB;AP;SERVIÇOS POSTAIS;R$  40,35
PROFESSORA MARCIVANIA;PCdoB;AP;Total;R$  249027,69
GLAUBER BRAGA;PSOL;RJ;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  93000
GLAUBER BRAGA;PSOL;RJ;EMISSÃO BILHETE AÉREO;R$  55084,88
GLAUBER BRAGA;PSOL;RJ;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  33507,2
GLAUBER BRAGA;PSOL;RJ;TELEFONIA;R$  26417,57
GLAUBER BRAGA;PSOL;RJ;COMBUSTÍVEIS E LUBRIFICANTES.;R$  22468,75
GLAUBER BRAGA;PSOL;RJ;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  8975,65
GLAUBER BRAGA;PSOL;RJ;SERVIÇOS POSTAIS;R$  4522,5
GLAUBER BRAGA;PSOL;RJ;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  1932,23
GLAUBER BRAGA;PSOL;RJ;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  1826,49
GLAUBER BRAGA;PSOL;RJ;ASSINATURA DE PUBLICAÇÕES;R$  835,4
GLAUBER BRAGA;PSOL;RJ;PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;R$  243,24
GLAUBER BRAGA;PSOL;RJ;Total;R$  248813,91
JÚNIOR MANO;PL;CE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  79550
JÚNIOR MANO;PL;CE;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  71100
JÚNIOR MANO;PL;CE;EMISSÃO BILHETE AÉREO;R$  46996,75
JÚNIOR MANO;PL;CE;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  33400
JÚNIOR MANO;PL;CE;COMBUSTÍVEIS E LUBRIFICANTES.;R$  6571,24
JÚNIOR MANO;PL;CE;LOCAÇÃO OU FRETAMENTO DE AERONAVES;R$  5500
JÚNIOR MANO;PL;CE;ASSINATURA DE PUBLICAÇÕES;R$  1539
JÚNIOR MANO;PL;CE;PASSAGENS AÉREAS;R$  1235,03
JÚNIOR MANO;PL;CE;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  1079,71
JÚNIOR MANO;PL;CE;TELEFONIA;R$  884,76
JÚNIOR MANO;PL;CE;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  436,01
JÚNIOR MANO;PL;CE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  388,04
JÚNIOR MANO;PL;CE;SERVIÇOS POSTAIS;R$  131,58
JÚNIOR MANO;PL;CE;Total;R$  248812,12
DA VITORIA;CIDADANIA;ES;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  68513,53
DA VITORIA;CIDADANIA;ES;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  53569,33
DA VITORIA;CIDADANIA;ES;EMISSÃO BILHETE AÉREO;R$  46221,17
DA VITORIA;CIDADANIA;ES;COMBUSTÍVEIS E LUBRIFICANTES.;R$  37050,97
DA VITORIA;CIDADANIA;ES;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  35650
DA VITORIA;CIDADANIA;ES;TELEFONIA;R$  4411,04
DA VITORIA;CIDADANIA;ES;SERVIÇOS POSTAIS;R$  2275,78
DA VITORIA;CIDADANIA;ES;PASSAGENS AÉREAS;R$  1004,9
DA VITORIA;CIDADANIA;ES;Total;R$  248696,72
DRA. SORAYA MANATO;PSL;ES;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  92925
DRA. SORAYA MANATO;PSL;ES;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  82220
DRA. SORAYA MANATO;PSL;ES;EMISSÃO BILHETE AÉREO;R$  45830,06
DRA. SORAYA MANATO;PSL;ES;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  17985,59
DRA. SORAYA MANATO;PSL;ES;TELEFONIA;R$  8311,67
DRA. SORAYA MANATO;PSL;ES;SERVIÇOS POSTAIS;R$  734,98
DRA. SORAYA MANATO;PSL;ES;Total;R$  248007,3
CARLOS HENRIQUE GAGUIM;DEM;TO;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  78000
CARLOS HENRIQUE GAGUIM;DEM;TO;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  52754,18
CARLOS HENRIQUE GAGUIM;DEM;TO;COMBUSTÍVEIS E LUBRIFICANTES.;R$  42472,58
CARLOS HENRIQUE GAGUIM;DEM;TO;EMISSÃO BILHETE AÉREO;R$  32795
CARLOS HENRIQUE GAGUIM;DEM;TO;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  28100
CARLOS HENRIQUE GAGUIM;DEM;TO;TELEFONIA;R$  13351,62
CARLOS HENRIQUE GAGUIM;DEM;TO;SERVIÇOS POSTAIS;R$  385,92
CARLOS HENRIQUE GAGUIM;DEM;TO;Total;R$  247859,3
IRACEMA PORTELLA;PP;PI;EMISSÃO BILHETE AÉREO;R$  79727,87
IRACEMA PORTELLA;PP;PI;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  65500
IRACEMA PORTELLA;PP;PI;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  48100
IRACEMA PORTELLA;PP;PI;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  33600
IRACEMA PORTELLA;PP;PI;COMBUSTÍVEIS E LUBRIFICANTES.;R$  9232,47
IRACEMA PORTELLA;PP;PI;TELEFONIA;R$  6625,36
IRACEMA PORTELLA;PP;PI;SERVIÇOS POSTAIS;R$  3075,76
IRACEMA PORTELLA;PP;PI;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;R$  1710,14
IRACEMA PORTELLA;PP;PI;Total;R$  247571,6
JOSÉ ROCHA;PL;BA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  80998
JOSÉ ROCHA;PL;BA;EMISSÃO BILHETE AÉREO;R$  69238,88
JOSÉ ROCHA;PL;BA;COMBUSTÍVEIS E LUBRIFICANTES.;R$  36827,61
JOSÉ ROCHA;PL;BA;LOCAÇÃO OU FRETAMENTO DE AERONAVES;R$  28900
JOSÉ ROCHA;PL;BA;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  10898,92
JOSÉ ROCHA;PL;BA;TELEFONIA;R$  9100,92
